,trade_date,0,close
0,20120104,DR007.IB,4.07
1,20120105,DR007.IB,4.51
2,20120106,DR007.IB,4.31
3,20120109,DR007.IB,4.52
4,20120110,DR007.IB,3.8
5,20120111,DR007.IB,4.0
6,20120112,DR007.IB,4.18
7,20120113,DR007.IB,5.0
8,20120116,DR007.IB,7.0
9,20120117,DR007.IB,7.15
10,20120118,DR007.IB,7.72
11,20120119,DR007.IB,5.98
12,20120120,DR007.IB,5.0
13,20120130,DR007.IB,4.5
14,20120131,DR007.IB,4.33
15,20120201,DR007.IB,4.35
16,20120202,DR007.IB,4.33
17,20120203,DR007.IB,3.35
18,20120206,DR007.IB,3.45
19,20120207,DR007.IB,3.47
20,20120208,DR007.IB,3.72
21,20120209,DR007.IB,3.67
22,20120210,DR007.IB,2.69
23,20120213,DR007.IB,3.65
24,20120214,DR007.IB,3.85
25,20120215,DR007.IB,3.9
26,20120216,DR007.IB,4.3
27,20120217,DR007.IB,5.39
28,20120220,DR007.IB,5.9316
29,20120221,DR007.IB,5.25
30,20120222,DR007.IB,5.1
31,20120223,DR007.IB,5.8
32,20120224,DR007.IB,4.4
33,20120227,DR007.IB,3.66
34,20120228,DR007.IB,3.0
35,20120229,DR007.IB,3.48
36,20120301,DR007.IB,3.4
37,20120302,DR007.IB,3.33
38,20120305,DR007.IB,3.12
39,20120306,DR007.IB,3.29
40,20120307,DR007.IB,2.5
41,20120308,DR007.IB,2.94
42,20120309,DR007.IB,3.0
43,20120312,DR007.IB,2.8
44,20120313,DR007.IB,3.0
45,20120314,DR007.IB,3.0
46,20120315,DR007.IB,3.03
47,20120316,DR007.IB,2.9
48,20120319,DR007.IB,2.75
49,20120320,DR007.IB,3.31
50,20120321,DR007.IB,3.11
51,20120322,DR007.IB,3.18
52,20120323,DR007.IB,3.02
53,20120326,DR007.IB,3.3
54,20120327,DR007.IB,3.31
55,20120328,DR007.IB,3.53
56,20120329,DR007.IB,3.51
57,20120330,DR007.IB,3.8
58,20120405,DR007.IB,4.0
59,20120406,DR007.IB,4.23
60,20120409,DR007.IB,3.75
61,20120410,DR007.IB,3.7
62,20120411,DR007.IB,3.8
63,20120412,DR007.IB,3.8
64,20120413,DR007.IB,3.81
65,20120416,DR007.IB,3.81
66,20120417,DR007.IB,3.76
67,20120418,DR007.IB,4.0
68,20120419,DR007.IB,3.85
69,20120420,DR007.IB,3.95
70,20120423,DR007.IB,3.7863
71,20120424,DR007.IB,3.61
72,20120425,DR007.IB,4.0
73,20120426,DR007.IB,4.0
74,20120427,DR007.IB,3.88
75,20120502,DR007.IB,3.81
76,20120503,DR007.IB,3.06
77,20120504,DR007.IB,3.84
78,20120507,DR007.IB,3.76
79,20120508,DR007.IB,3.76
80,20120509,DR007.IB,3.33
81,20120510,DR007.IB,3.2
82,20120511,DR007.IB,3.19
83,20120514,DR007.IB,3.0
84,20120515,DR007.IB,2.75
85,20120516,DR007.IB,2.79
86,20120517,DR007.IB,2.7
87,20120518,DR007.IB,2.69
88,20120521,DR007.IB,2.67
89,20120522,DR007.IB,2.7
90,20120523,DR007.IB,2.43
91,20120524,DR007.IB,2.23
92,20120525,DR007.IB,2.2
93,20120528,DR007.IB,2.6
94,20120529,DR007.IB,2.58
95,20120530,DR007.IB,2.35
96,20120531,DR007.IB,2.16
97,20120601,DR007.IB,2.4
98,20120604,DR007.IB,2.53
99,20120605,DR007.IB,2.6
100,20120606,DR007.IB,2.64
101,20120607,DR007.IB,2.68
102,20120608,DR007.IB,2.6
103,20120611,DR007.IB,2.4
104,20120612,DR007.IB,2.55
105,20120613,DR007.IB,2.7
106,20120614,DR007.IB,2.7
107,20120615,DR007.IB,2.75
108,20120618,DR007.IB,2.66
109,20120619,DR007.IB,2.98
110,20120620,DR007.IB,3.45
111,20120621,DR007.IB,4.34
112,20120625,DR007.IB,4.2
113,20120626,DR007.IB,4.3
114,20120627,DR007.IB,4.4
115,20120628,DR007.IB,3.93
116,20120629,DR007.IB,4.13
117,20120702,DR007.IB,3.5
118,20120703,DR007.IB,4.1727
119,20120704,DR007.IB,3.97
120,20120705,DR007.IB,3.98
121,20120706,DR007.IB,3.48
122,20120709,DR007.IB,3.376
123,20120710,DR007.IB,3.33
124,20120711,DR007.IB,3.28
125,20120712,DR007.IB,3.25
126,20120713,DR007.IB,3.34
127,20120716,DR007.IB,3.28
128,20120717,DR007.IB,3.28
129,20120718,DR007.IB,3.56
130,20120719,DR007.IB,3.6
131,20120720,DR007.IB,3.58
132,20120723,DR007.IB,3.57
133,20120724,DR007.IB,3.38
134,20120725,DR007.IB,3.35
135,20120726,DR007.IB,3.38
136,20120727,DR007.IB,3.2
137,20120730,DR007.IB,3.14
138,20120731,DR007.IB,3.36
139,20120801,DR007.IB,3.42
140,20120802,DR007.IB,3.49
141,20120803,DR007.IB,3.39
142,20120806,DR007.IB,3.41
143,20120807,DR007.IB,2.65
144,20120808,DR007.IB,2.7
145,20120809,DR007.IB,3.29
146,20120810,DR007.IB,3.3
147,20120813,DR007.IB,3.34
148,20120814,DR007.IB,3.35
149,20120815,DR007.IB,3.37
150,20120816,DR007.IB,3.55
151,20120817,DR007.IB,3.89
152,20120820,DR007.IB,3.6
153,20120821,DR007.IB,4.3
154,20120822,DR007.IB,3.8
155,20120823,DR007.IB,3.8
156,20120824,DR007.IB,3.61
157,20120827,DR007.IB,3.45
158,20120828,DR007.IB,3.38
159,20120829,DR007.IB,3.53
160,20120830,DR007.IB,3.6
161,20120831,DR007.IB,3.53
162,20120903,DR007.IB,3.4472
163,20120904,DR007.IB,2.49
164,20120905,DR007.IB,3.43
165,20120906,DR007.IB,3.41
166,20120907,DR007.IB,3.4
167,20120910,DR007.IB,3.0
168,20120911,DR007.IB,3.0
169,20120912,DR007.IB,3.43
170,20120913,DR007.IB,3.43
171,20120914,DR007.IB,3.36
172,20120917,DR007.IB,3.24
173,20120918,DR007.IB,3.16
174,20120919,DR007.IB,3.43
175,20120920,DR007.IB,3.9
176,20120921,DR007.IB,4.3
177,20120924,DR007.IB,4.49
178,20120925,DR007.IB,4.7
179,20120926,DR007.IB,4.29
180,20120927,DR007.IB,3.9
181,20120928,DR007.IB,3.04
182,20121008,DR007.IB,3.83
183,20121009,DR007.IB,3.76
184,20121010,DR007.IB,3.16
185,20121011,DR007.IB,3.0859
186,20121012,DR007.IB,3.18
187,20121015,DR007.IB,2.82
188,20121016,DR007.IB,2.8
189,20121017,DR007.IB,3.0
190,20121018,DR007.IB,2.69
191,20121019,DR007.IB,2.7
192,20121022,DR007.IB,2.66
193,20121023,DR007.IB,2.93
194,20121024,DR007.IB,3.17
195,20121025,DR007.IB,3.62
196,20121026,DR007.IB,3.72
197,20121029,DR007.IB,4.32
198,20121030,DR007.IB,3.28
199,20121031,DR007.IB,3.23
200,20121101,DR007.IB,3.44
201,20121102,DR007.IB,3.37
202,20121105,DR007.IB,3.0
203,20121106,DR007.IB,3.19
204,20121107,DR007.IB,3.12
205,20121108,DR007.IB,3.28
