日期,沪深300,中证500,国债指数,30年国债,大宗商品,豆粕指数,黄金(申万)
Date,000300.SH,000905.SH,000012.SH,931080.CSI,000979.CSI,MFI.WI,850531.SI
2012/1/4,-2.0032,-2.2818,0.0358,-0.3788,-2.6798,0.7275,-0.9155
2012/1/5,-0.973,-3.6923,0.0129,-0.0177,-3.2751,-0.0995,-1.0799
2012/1/6,0.6245,0.4286,0.0091,0.3496,1.2135,-0.587,1.1945
2012/1/9,3.4039,4.0601,0.0707,0.0649,5.8361,-0.0749,4.2284
2012/1/10,3.326,4.1236,0.0167,-0.5204,5.4132,1.404,5.4576
2012/1/11,-0.4797,0.0404,-0.0023,0.4114,0.0082,-0.1868,0.282
2012/1/12,-0.016,-0.0278,0.0122,0.2243,0.5389,-1.0201,0.8169
2012/1/13,-1.6789,-3.3508,0.0144,-0.0037,-2.0354,-1.2105,-1.808
2012/1/16,-2.0333,-3.1896,0.0403,0.0444,-3.8303,-1.3811,-3.4866
2012/1/17,4.9006,5.5684,-0.0122,-0.0055,8.0469,1.2307,9.9854
2012/1/18,-1.5611,-2.0282,0.0144,0.0582,-0.9222,-0.5217,-0.8999
2012/1/19,1.9058,1.0165,-0.0053,0.0111,2.2639,0.778,6.4734
2012/1/20,1.4478,1.3709,0.0122,0.0111,0.1489,1.1409,-0.8931
2012/1/30,-1.7318,-0.6995,0.0889,0.0397,-1.0892,0.235,1.4929
2012/1/31,0.1439,0.0633,-0.0144,-0.0203,0.2585,-0.4149,-0.59
2012/2/1,-1.4311,-0.8578,-0.0099,-0.2041,-2.0437,0.8457,-3.1095
2012/2/2,2.3567,1.8957,0.0099,-0.0463,2.5645,0.2598,2.6982
2012/2/3,0.7985,1.6495,0.0106,-0.063,1.0867,-0.1298,1.7656
2012/2/6,-0.0705,0.8677,0.0152,-0.4392,0.3419,1.9519,-0.8607
2012/2/7,-1.8515,-1.6284,0.0121,0.0084,-1.5849,-0.5028,-1.8462
2012/2/8,2.8594,2.6418,0.0068,-0.0577,4.8089,0.7943,5.0576
2012/2/9,0.0394,0.706,0,-0.2607,-0.2189,-0.633,-0.7074
2012/2/10,0.1737,0.5298,0.0106,0.0112,0.0711,-1.1225,-0.5454
2012/2/13,-0.0648,0.9072,0.0356,0.154,0.4141,1.2134,0.3751
2012/2/14,-0.39,0.1349,0.0068,0.0112,-0.2327,0.3976,-0.9782
2012/2/15,1.0904,1.5186,0.0091,0.0112,1.3871,-0.031,1.3594
2012/2/16,-0.5308,-0.0265,0.0106,0.2087,-0.7462,0.0399,-1.135
2012/2/17,0.0399,-0.3326,0.0076,-0.1999,-0.4902,1.3401,0.1697
2012/2/20,0.1427,0.2567,0.0273,0.0792,-0.0022,0.2191,1.3249
2012/2/21,0.8559,1.2266,0.0076,0.1797,1.0701,0.3312,0.3416
2012/2/22,1.3668,1.954,0.0038,0.0112,1.5676,-0.4521,1.1942
2012/2/23,0.338,0.3221,0.0098,0.0093,0.9527,0.2786,1.6068
2012/2/24,1.6023,1.5114,0.0068,0.0111,1.2092,0.0685,0.4308
2012/2/27,0.3231,0.1997,0.0235,-0.6819,0.2953,0.9041,0.1571
2012/2/28,0.2217,-0.498,0,0.0253,-0.5082,0.9788,-0.8649
2012/2/29,-1.0637,-1.3198,-0.0091,0.0122,-0.4727,0.1038,1.6573
2012/3/1,-0.0303,0.5284,0.0106,-0.0206,-0.0868,-0.6476,-2.3901
2012/3/2,1.7692,2.1192,0.0144,0.0075,2.0725,1.3064,0.686
2012/3/5,-0.6432,0.1044,0.025,0.0898,0.3002,0.8286,-0.7658
2012/3/6,-1.5641,-0.995,0.0136,0.0112,-1.6326,-0.0934,-2.745
2012/3/7,-0.6885,-0.7413,0.0295,0.0131,-1.7481,-0.7043,-2.003
2012/3/8,1.2595,1.5838,-0.0121,-0.0047,1.8634,-0.5567,1.697
2012/3/9,1.0817,1.4843,-0.0015,0.0626,1.923,1.7075,1.4332
2012/3/12,-0.3716,0.598,0.0378,0.0327,0.3078,-0.6047,-0.2402
2012/3/13,1.0048,1.006,0.0356,0.0112,1.2363,0.3546,0.3313
2012/3/14,-2.8335,-4.4947,0.0083,-0.0056,-3.9499,0.5388,-2.9257
2012/3/15,-0.7508,-1.2132,0.0197,-0.056,-1.575,0.1634,-2.6873
2012/3/16,1.4687,2.6458,-0.0083,-0.1251,2.1146,-0.1351,1.5453
2012/3/19,0.2475,1.1377,0.0204,0.0692,2.216,0.294,1.8509
2012/3/20,-1.7326,-2.178,0.0068,0.0112,-2.2785,-1.3092,-1.9844
2012/3/21,0.1295,0.3674,0.0181,-0.0047,2.1146,-0.0295,1.9469
2012/3/22,-0.1563,-0.4696,-0.0068,-0.057,-1.5236,0.3787,0.1518
2012/3/23,-1.1923,-1.9308,0.0166,0.0103,-2.0799,1.8196,-2.8272
2012/3/26,0.098,-0.1049,0.0378,0.0336,-0.1983,0.6512,-0.1899
2012/3/27,-0.3248,-0.3656,-0.0038,0.0215,0.0829,0.4665,1.6356
2012/3/28,-2.8362,-4.4587,0.0128,0.0822,-5.1249,-0.0888,-2.7709
2012/3/29,-1.284,-1.8425,0.0287,0.1419,-2.6834,-0.3874,-2.9102
2012/3/30,0.482,-0.2582,0.0204,0.0876,-0.8132,-0.7471,-1.1302
2012/4/5,2.3599,3.3567,0.0279,0.0391,3.3556,4.3644,1.573
2012/4/6,0.2785,0.6365,0.0158,0.0112,0.2592,0.5976,0.2292
2012/4/9,-0.9796,-1.1568,0.0257,-0.1592,-1.0816,-0.2525,0.4156
2012/4/10,0.9876,1.1707,0.0091,-0.4475,1.0115,0.3125,0.7796
2012/4/11,0.0098,0.35,0.0045,0.0112,-0.0149,-1.5998,1.7418
2012/4/12,2,2.0729,0.0256,-0.0056,2.1102,0.2348,0.6658
2012/4/13,0.3897,0.951,-0.003,-0.0496,1.0693,0.7117,0.4769
2012/4/16,-0.2484,0.2844,0.0211,0.0131,-0.5392,-1.2717,-0.8879
2012/4/17,-1.2494,-1.4632,0.0143,-0.2951,-1.1363,0.951,-0.3852
2012/4/18,2.2828,2.2708,0.0136,0.0122,2.5613,-1.1218,1.3885
2012/4/19,-0.1482,-0.2508,0.0038,-0.0798,-0.3326,0.2778,0.0867
2012/4/20,1.1858,0.8546,0.0151,0.0075,0.7904,0.0741,0.4557
2012/4/23,-0.7919,-1.1988,0.0399,0.0273,-1.9033,1.0612,-0.8318
2012/4/24,-0.045,-0.6821,-0.0015,0.1513,-0.6107,-0.6394,-0.5739
2012/4/25,0.8109,1.4324,0.0143,0.0141,1.2668,0.3992,3.3719
